semana,llamadas
2016 W52,244
2017 W01,293
2017 W02,373
2017 W03,414
2017 W04,350
2017 W05,389
2017 W06,479
2017 W07,412
2017 W08,390
2017 W09,339
2017 W10,407
2017 W11,393
2017 W12,460
2017 W13,456
2017 W14,427
2017 W15,489
2017 W16,461
2017 W17,514
2017 W18,522
2017 W19,489
2017 W20,483
2017 W21,507
2017 W22,478
2017 W23,450
2017 W24,446
2017 W25,462
2017 W26,457
2017 W27,407
2017 W28,394
2017 W29,464
2017 W30,459
2017 W31,445
2017 W32,413
2017 W33,415
2017 W34,424
2017 W35,449
2017 W36,339
2017 W37,467
2017 W38,492
2017 W39,330
2017 W40,374
2017 W41,349
2017 W42,347
2017 W43,316
2017 W44,414
2017 W45,336
2017 W46,335
2017 W47,322
2017 W48,293
2017 W49,265
2017 W50,308
2017 W51,349
2017 W52,386
2018 W01,309
2018 W02,284
2018 W03,239
2018 W04,289
2018 W05,294
2018 W06,335
2018 W07,361
2018 W08,426
2018 W09,374
2018 W10,398
2018 W11,376
2018 W12,436
2018 W13,486
2018 W14,431
2018 W15,436
2018 W16,515
2018 W17,408
2018 W18,450
2018 W19,470
2018 W20,509
2018 W21,434
2018 W22,572
2018 W23,558
2018 W24,534
2018 W25,487
2018 W26,371
2018 W27,538
2018 W28,461
2018 W29,517
2018 W30,531
2018 W31,495
2018 W32,497
2018 W33,556
2018 W34,499
2018 W35,499
2018 W36,436
2018 W37,411
2018 W38,465
2018 W39,414
2018 W40,490
2018 W41,490
2018 W42,298
2018 W43,368
2018 W44,484
2018 W45,360
2018 W46,310
2018 W47,355
2018 W48,404
2018 W49,345
2018 W50,325
2018 W51,320
2018 W52,554
2019 W01,483
2019 W02,364
2019 W03,290
2019 W04,331
2019 W05,420
2019 W06,326
2019 W07,384
2019 W08,393
2019 W09,478
2019 W10,424
2019 W11,385
2019 W12,359
2019 W13,412
2019 W14,394
2019 W15,468
2019 W16,612
2019 W17,484
2019 W18,529
2019 W19,429
2019 W20,511
2019 W21,523
2019 W22,553
2019 W23,557
2019 W24,554
2019 W25,593
2019 W26,466
2019 W27,455
2019 W28,547
2019 W29,540
2019 W30,470
2019 W31,597
2019 W32,636
2019 W33,571
2019 W34,457
2019 W35,520
2019 W36,487
2019 W37,568
2019 W38,525
2019 W39,601
2019 W40,504
2019 W41,430
2019 W42,472
2019 W43,439
2019 W44,394
2019 W45,396
2019 W46,298
2019 W47,450
2019 W48,414
2019 W49,432
2019 W50,413
2019 W51,331
2019 W52,534
2020 W01,445
2020 W02,329
2020 W03,425
2020 W04,295
2020 W05,347
2020 W06,447
2020 W07,391
2020 W08,390
2020 W09,424
2020 W10,445
2020 W11,470
2020 W12,458
2020 W13,484
2020 W14,360
2020 W15,421
2020 W16,349
2020 W17,427
2020 W18,350
2020 W19,330
2020 W20,375
2020 W21,419
2020 W22,379
2020 W23,538
2020 W24,518
2020 W25,557
2020 W26,527
2020 W27,531
2020 W28,520
2020 W29,479
2020 W30,408
2020 W31,361
2020 W32,440
2020 W33,447
2020 W34,471
2020 W35,481
2020 W36,484
2020 W37,405
2020 W38,450
2020 W39,512
2020 W40,469
2020 W41,464
2020 W42,522
2020 W43,519
2020 W44,346
2020 W45,418
2020 W46,428
2020 W47,375
2020 W48,441
2020 W49,262
2020 W50,382
2020 W51,391
2020 W52,487
2020 W53,439
2021 W01,293
2021 W02,312
2021 W03,395
2021 W04,437
2021 W05,443
2021 W06,320
2021 W07,337
2021 W08,518
2021 W09,446
2021 W10,483
2021 W11,482
2021 W12,509
2021 W13,446
2021 W14,529
2021 W15,466
2021 W16,471
2021 W17,565
2021 W18,586
2021 W19,511
2021 W20,579
2021 W21,549
2021 W22,394
2021 W23,719
2021 W24,531
2021 W25,597
2021 W26,520
2021 W27,480
2021 W28,548
2021 W29,546
2021 W30,503
2021 W31,535
2021 W32,495
2021 W33,579
2021 W34,527
2021 W35,513
2021 W36,567
2021 W37,583
2021 W38,528
2021 W39,510
2021 W40,499
2021 W41,514
2021 W42,520
2021 W43,478
2021 W44,397
2021 W45,401
2021 W46,464
2021 W47,384
2021 W48,473
2021 W49,461
2021 W50,434
2021 W51,507
2021 W52,624
2022 W01,345
2022 W02,334
2022 W03,311
2022 W04,275
2022 W05,325
2022 W06,355
2022 W07,407
2022 W08,404
2022 W09,527
2022 W10,402
2022 W11,486
2022 W12,461
2022 W13,488
2022 W14,516
2022 W15,652
2022 W16,546
2022 W17,446
2022 W18,633
2022 W19,598
2022 W20,608
2022 W21,577
2022 W22,616
2022 W23,671
2022 W24,637
2022 W25,630
2022 W26,616
2022 W27,828
2022 W28,709
2022 W29,655
2022 W30,646
2022 W31,675
2022 W32,579
2022 W33,627
2022 W34,619
2022 W35,492
2022 W36,581
2022 W37,603
2022 W38,590
2022 W39,347
